Name,APID,Type,Conversion,Endian
CCSDS_Header_1_APID,1,U16,,little
CCSDS_Header_2_Seq,1,U16,,little
PKT_LEN,1,U16,,little
SHCOARSE,1,U32,,big
SHFINE,1,U16,,big
cmd_recv_count,1,U8,,big
cmd_fail_count,1,U8,,big
cmd_succ_count,1,U8,,big
cmd_succ_op,1,D8,,big
cmd_fail_op,1,D8,,big
cmd_fail_code,1,D8,,big
pwr_status,1,U8,,big
sd_read_misc,1,U32,,big
sd_read_scic,1,U32,,big
sd_read_scid,1,U32,,big
sd_read_adcs,1,U32,,big
sd_read_beacon,1,U32,,big
sd_read_log,1,U32,,big
sd_write_misc,1,U32,,big
sd_write_scic,1,U32,,big
sd_write_scid,1,U32,,big
sd_write_adcs,1,U32,,big
sd_write_beacon,1,U32,,big
sd_write_log,1,U32,,big
cmd_loss_timer,1,U32,,big
alive_flags,1,U8,,big
cip_comstat,1,U32,,big
cip_temp1,1,U16,C0=0.000000 C1=0.007812 ,big
cip_temp2,1,U16,C0=0.000000 C1=0.007812 ,big
cip_temp3,1,U16,C0=0.000000 C1=0.007812 ,big
uhf_temp,1,U8,,big
uhf_config,1,U8,,big
sband_pa_curr,1,U16,C0=0.000000 C1=0.000040 ,big
sband_pa_volt,1,U16,C0=0.000000 C1=0.004000 ,big
sband_rf_pwr,1,U16,C0=0.000000 C1=0.001139 ,big
sband_pa_temp,1,U16,C0=50.00000 C1=0.073242 ,big
sband_top_temp,1,U16,C0=0.000000 C1=0.062500 ,big
sband_bottom_temp,1,U16,C0=0.000000 C1=0.062500 ,big
adcs_cmd_acpt,1,U8,,big
adcs_cmd_fail,1,U8,,big
adcs_time,1,U32,,big
adcs_info,1,U8,,big
adcs_star_temp,1,U8,C0=0.000000 C1=0.800000 ,big
adcs_wheel_temp1,1,U16,C0=0.000000 C1=0.005000 ,big
adcs_wheel_temp2,1,U16,C0=0.000000 C1=0.005000 ,big
adcs_wheel_temp3,1,U16,C0=0.000000 C1=0.005000 ,big
adcs_digi_bus_volt,1,U16,C0=0.000000 C1=0.001250 ,big
adcs_sun_vec1,1,U16,C0=0.000000 C1=0.000100 ,big
adcs_sun_vec2,1,U16,C0=0.000000 C1=0.000100 ,big
adcs_sun_vec3,1,U16,C0=0.000000 C1=0.000100 ,big
adcs_wheel_sp1,1,U16,C0=0.000000 C1=0.400000 ,big
adcs_wheel_sp2,1,U16,C0=0.000000 C1=0.400000 ,big
adcs_wheel_sp3,1,U16,C0=0.000000 C1=0.400000 ,big
adcs_body_rt1,1,U32,C0=0.000000 C1=0.000000 ,big
adcs_body_rt2,1,U32,C0=0.000000 C1=0.000000 ,big
adcs_body_rt3,1,U32,C0=0.000000 C1=0.000000 ,big
adcs_body_quat1,1,U32,C0=0.000000 C1=0.000000 ,big
adcs_body_quat2,1,U32,C0=0.000000 C1=0.000000 ,big
adcs_body_quat3,1,U32,C0=0.000000 C1=0.000000 ,big
adcs_body_quat4,1,U32,C0=0.000000 C1=0.000000 ,big
daxss_cmd_op,1,U8,,big
daxss_cmd_succ,1,U8,,big
daxss_cmd_fail,1,U8,,big
daxss_cdh_enables,1,U16,,big
daxss_cdh_temp,1,U16,C0=0.000000 C1=0.003906 ,big
daxss_sps_rate,1,U32,,big
daxss_sps_x,1,U16,,big
daxss_sps_y,1,U16,,big
daxss_slow_count,1,U16,,big
bat_fg1,1,U16,C0=0.000000 C1=0.003906 ,big
daxss_curr,1,U16,C0=0.000000 C1=0.005000 ,big
daxss_volt,1,U16,C0=0.000000 C1=0.001000 ,big
cdh_curr,1,U16,C0=0.000000 C1=0.005000 ,big
cdh_volt,1,U16,C0=0.000000 C1=0.001000 ,big
sband_curr,1,U16,C0=0.000000 C1=0.005000 ,big
sband_volt,1,U16,C0=0.000000 C1=0.001000 ,big
uhf_curr,1,U16,C0=0.000000 C1=0.005000 ,big
uhf_volt,1,U16,C0=0.000000 C1=0.001000 ,big
heater_curr,1,U16,C0=0.000000 C1=0.005000 ,big
heater_volt,1,U16,C0=0.000000 C1=0.001000 ,big
sp2_curr,1,U16,C0=0.000000 C1=0.005000 ,big
sp2_volt,1,U16,C0=0.000000 C1=0.001000 ,big
sp1_curr,1,U16,C0=0.000000 C1=0.005000 ,big
sp1_volt,1,U16,C0=0.000000 C1=0.001000 ,big
sp0_curr,1,U16,C0=0.000000 C1=0.005000 ,big
sp0_volt,1,U16,C0=0.000000 C1=0.001000 ,big
bat_vcell,1,U16,,big
gps_12v_2_curr,1,U16,C0=0.000000 C1=0.005000 ,big
gps_12v_2_volt,1,U16,C0=0.000000 C1=0.001000 ,big
gps_12v_1_curr,1,U16,C0=0.000000 C1=0.005000 ,big
gps_12v_1_volt,1,U16,C0=0.000000 C1=0.001000 ,big
bat_curr,1,U16,C0=0.000000 C1=0.005000 ,big
bat_volt,1,U16,C0=0.000000 C1=0.001000 ,big
adcs_curr,1,U16,C0=0.000000 C1=0.005000 ,big
adcs_volt,1,U16,C0=0.000000 C1=0.001000 ,big
3p3_curr,1,U16,C0=0.000000 C1=0.005000 ,big
3p3_volt,1,U16,C0=0.000000 C1=0.001000 ,big
cip_curr,1,U16,C0=0.000000 C1=0.005000 ,big
cip_volt,1,U16,C0=0.000000 C1=0.001000 ,big
obc_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103,big
eps_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103 ,big
int_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103 ,big
sp0_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103  ,big
bat0_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103 ,big
sp1_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103  ,big
bat1_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103 ,big
sp2_temp,1,U16,C0=102.5800 C1=-0.140980 C2=0.000103 ,big
bat_fg3,1,U16,C0=0.000000 C1=0.003906 ,big
bat0_temp_conv,1,U32,,big
bat1_temp_conv,1,U32,,big
mode,1,D8,,big
